Age,Gender,Your Program/Course,10th Percentage,12th percentage,Current percentage/CGPA,Do you have any backlogs?,Are you Aware of Neuro-Linguistic Programming (NLP)?,How effectively can you regulate your emotions under pressure?,How much does a positive emotional state improve your performance?,How quickly can you shift from stress to calm?,How well can you sustain a flow state while learning?,How strongly does slow/deep breathing improve your mental clarity?,How constructive is your self-talk during difficulty?,How effectively can you replace negative images with positive ones?,How strongly do you believe your abilities improve with consistent effort?,How strongly does sleep quality influence your mood?,How quickly can you adapt to new learning habits?,How consistently do your mental patterns help you stay productive?,How capable are you of creating new positive anchors intentionally?,How effective are your positive triggers in boosting confidence?,How frequently do you repeat specific study behaviors?,How motivated are you to build new habits?,How easily can you change your study approach when needed?,How effectively do you track your progress?,How effective is your usual approach to solving problems?,How successful is your most effective strategy?,How specific and measurable are your goals?,How clearly defined are your steps toward achieving goals?,How detailed are your mental rehearsals before exams?,How motivating is your mental image of the future?,How clearly do you define your desired results?,How intense are the emotions you feel before tests or deadlines?,How strongly does inner dialogue affect your performance?,Consent
23,0,3,58.93,54.91,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
19,1,0,59.01,55.01,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
20,0,2,59.09,55.11,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
21,1,1,59.17,55.21,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
22,0,4,59.25,55.31,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
23,1,3,59.33,55.41,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
19,0,0,59.41,55.51,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
20,1,2,59.49,55.61,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
21,0,1,59.57,55.71,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
22,1,4,59.65,55.81,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
23,0,3,59.73,55.91,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
19,1,0,59.81,56.01,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
20,0,2,59.89,56.11,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
21,1,1,59.97,56.21,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
22,0,4,60.05,56.31,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
23,1,3,60.13,56.41,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
19,0,0,60.21,56.51,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
20,1,2,60.29,56.61,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
21,0,1,60.37,56.71,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
22,1,4,60.45,56.81,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
23,0,3,60.53,56.91,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
19,1,0,60.61,57.01,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
20,0,2,60.69,57.11,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
21,1,1,60.77,57.21,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
22,0,4,60.85,57.31,40.0,1,0,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,1
23,1,3,60.93,57.41,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
19,0,0,61.01,57.52,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
20,1,2,61.09,57.62,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
21,0,1,61.17,57.72,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
22,1,4,61.25,57.82,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
23,0,3,61.33,57.92,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
19,1,0,61.41,58.02,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
20,0,2,61.49,58.12,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
21,1,1,61.57,58.22,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
22,0,4,61.65,58.32,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
23,1,3,61.73,58.42,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
19,0,0,61.81,58.52,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
20,1,2,61.89,58.62,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
21,0,1,61.97,58.72,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
22,1,4,62.05,58.82,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
23,0,3,62.13,58.92,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
19,1,0,62.21,59.02,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
20,0,2,62.29,59.12,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
21,1,1,62.37,59.22,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
22,0,4,62.45,59.32,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
23,1,3,62.54,59.42,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
19,0,0,62.62,59.52,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
20,1,2,62.7,59.62,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
21,0,1,62.78,59.72,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
22,1,4,62.86,59.82,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
23,0,3,62.94,59.92,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
19,1,0,63.02,60.02,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
20,0,2,63.1,60.12,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
21,1,1,63.18,60.22,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
22,0,4,63.26,60.32,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
23,1,3,63.34,60.42,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
19,0,0,63.42,60.52,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
20,1,2,63.5,60.62,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
21,0,1,63.58,60.72,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
22,1,4,63.66,60.82,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
23,0,3,63.74,60.92,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
19,1,0,63.82,61.02,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
20,0,2,63.9,61.12,40.0,1,0,5,2,5,2,2,2,5,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,5,5,1
21,1,1,63.98,61.22,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
22,0,4,64.06,61.32,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
23,1,3,64.14,61.42,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
19,0,0,64.22,61.52,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
20,1,2,64.3,61.62,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
21,0,1,64.38,61.72,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
22,1,4,64.46,61.82,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
23,0,3,64.54,61.92,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
19,1,0,64.62,62.02,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
20,0,2,64.7,62.12,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
21,1,1,64.78,62.22,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
22,0,4,64.86,62.32,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
23,1,3,64.94,62.42,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
19,0,0,65.02,62.53,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
20,1,2,65.1,62.63,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
21,0,1,65.18,62.73,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
22,1,4,65.26,62.83,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
23,0,3,65.34,62.93,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
19,1,0,65.42,63.03,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
20,0,2,65.5,63.13,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
21,1,1,65.58,63.23,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
22,0,4,65.66,63.33,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
23,1,3,65.74,63.43,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
19,0,0,65.82,63.53,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
20,1,2,65.9,63.63,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
21,0,1,65.98,63.73,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
22,1,4,66.06,63.83,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
23,0,3,66.14,63.93,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
19,1,0,66.22,64.03,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
20,0,2,66.3,64.13,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
21,1,1,66.38,64.23,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
22,0,4,66.46,64.33,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
23,1,3,66.54,64.43,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
19,0,0,66.62,64.53,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
20,1,2,66.7,64.63,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
21,0,1,66.78,64.73,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
22,1,4,66.86,64.83,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
23,0,3,66.94,64.93,40.0,1,0,5,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1
19,1,0,67.02,65.03,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
20,0,2,67.1,65.13,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
21,1,1,67.18,65.23,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
22,0,4,67.26,65.33,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
23,1,3,67.34,65.43,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
19,0,0,67.42,65.53,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
20,1,2,67.51,65.63,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
21,0,1,67.59,65.73,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
22,1,4,67.67,65.83,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
23,0,3,67.75,65.93,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
19,1,0,67.83,66.03,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
20,0,2,67.91,66.13,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
21,1,1,67.99,66.23,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
22,0,4,68.07,66.33,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
23,1,3,68.15,66.43,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
19,0,0,68.23,66.53,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
20,1,2,68.31,66.63,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
21,0,1,68.39,66.73,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
22,1,4,68.47,66.83,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
23,0,3,68.55,66.93,40.0,0,1,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,1
